service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000216,0,0,0,0,0,0,0,20191215,20201212
000217,0,0,0,0,0,0,0,20191215,20201212
000218,0,0,0,0,0,0,0,20191215,20201212
000219,0,0,0,0,0,0,0,20191215,20201212
000222,0,0,0,0,0,0,0,20191215,20201212
000223,0,0,0,0,0,0,0,20191215,20201212
000224,0,0,0,0,0,0,0,20191215,20201212
000225,0,0,0,0,0,0,0,20191215,20201212
000226,0,0,0,0,0,0,0,20191215,20201212
000227,0,0,0,0,0,0,0,20191215,20201212
000228,0,0,0,0,0,0,0,20191215,20201212
000229,0,0,0,0,0,0,0,20191215,20201212
000230,0,0,0,0,0,0,0,20191215,20201212
000231,0,0,0,0,0,0,0,20191215,20201212
000232,0,0,0,0,0,0,0,20191215,20201212
000233,0,0,0,0,0,0,0,20191215,20201212
000234,0,0,0,0,0,0,0,20191215,20201212
000235,0,0,0,0,0,0,0,20191215,20201212
000236,0,0,0,0,0,0,0,20191215,20201212
000237,0,0,0,0,0,0,0,20191215,20201212
000238,0,0,0,0,0,0,0,20191215,20201212
000239,0,0,0,0,0,0,0,20191215,20201212
000240,0,0,0,0,0,0,0,20191215,20201212
000241,0,0,0,0,0,0,0,20191215,20201212
000253,0,0,0,0,0,0,0,20191215,20201212
000259,0,0,0,0,0,0,0,20191215,20201212
000268,0,0,0,0,0,0,0,20191215,20201212
000271,0,0,0,0,0,0,0,20191215,20201212
000272,0,0,0,0,0,0,0,20191215,20201212
000294,0,0,0,0,0,0,0,20191215,20201212
000297,0,0,0,0,0,0,0,20191215,20201212
000298,0,0,0,0,0,0,0,20191215,20201212
000300,0,0,0,0,0,0,0,20191215,20201212
000310,0,0,0,0,0,0,0,20191215,20201212
000311,0,0,0,0,0,0,0,20191215,20201212
000312,0,0,0,0,0,0,0,20191215,20201212
000313,0,0,0,0,0,0,0,20191215,20201212
000314,0,0,0,0,0,0,0,20191215,20201212
000315,0,0,0,0,0,0,0,20191215,20201212
000316,0,0,0,0,0,0,0,20191215,20201212
000317,0,0,0,0,0,0,0,20191215,20201212
000318,0,0,0,0,0,0,0,20191215,20201212
